epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2
1,43.6584,2.37134,4.67525,3.18475,0.22031,0.02301,0.62082,0.03357,0.02317,1.19006,3.22062,1.75517,0.1162,0.000175,0.000175,0.000175
2,49.9426,1.20651,2.95123,1.80938,0.08497,0.18082,0.49361,0.24734,0.19658,0.82324,2.73767,1.27508,0.08902,0.000360706,0.000360706,0.000360706
3,56.2392,0.85693,2.03401,1.41789,0.05259,0.24948,0.6806,0.31426,0.25032,0.74479,2.37897,1.25678,0.05179,0.000544555,0.000544555,0.000544555
4,62.2394,0.77838,1.67824,1.33411,0.04146,0.35813,0.69866,0.44285,0.37541,0.5874,2.17241,1.08408,0.04543,0.000726548,0.000726548,0.000726548
5,68.2003,0.71577,1.46793,1.29084,0.03436,0.374,0.65308,0.47197,0.41138,0.48275,1.58226,1.05812,0.03002,0.000906685,0.000906685,0.000906685
6,74.2715,0.68506,1.32394,1.28805,0.03284,0.54723,0.67347,0.53975,0.4607,0.47912,1.45006,1.06373,0.02613,0.00108497,0.00108497,0.00108497
7,80.1734,0.63742,1.23235,1.2461,0.02518,0.46078,0.67243,0.49319,0.42579,0.46066,1.39379,1.07143,0.01761,0.00121287,0.00121287,0.00121287
8,86.2122,0.63294,1.15836,1.21994,0.02318,0.44361,0.68195,0.53763,0.48312,0.44141,1.24591,1.05535,0.01709,0.00120669,0.00120669,0.00120669
9,92.3695,0.62391,1.09988,1.23255,0.02538,0.51866,0.59803,0.5174,0.44877,0.50297,1.31118,1.03751,0.02946,0.0012005,0.0012005,0.0012005
10,98.4441,0.55604,0.99526,1.16684,0.01883,0.40791,0.7082,0.55325,0.49474,0.44656,1.5032,1.0412,0.01681,0.00119431,0.00119431,0.00119431
11,104.391,0.55716,0.99402,1.17287,0.01923,0.45629,0.76142,0.56001,0.50378,0.41446,1.57143,1.01382,0.01656,0.00118812,0.00118812,0.00118812
12,110.501,0.53864,0.96916,1.16354,0.01894,0.50822,0.77117,0.62187,0.55282,0.42432,1.28146,1.01322,0.02076,0.00118194,0.00118194,0.00118194
13,116.493,0.53193,0.9274,1.15084,0.01777,0.56674,0.78536,0.59569,0.54084,0.41394,1.57987,0.98434,0.02243,0.00117575,0.00117575,0.00117575
14,122.553,0.52217,0.91676,1.13908,0.01786,0.51882,0.78047,0.61478,0.57118,0.35391,1.54911,0.97353,0.01014,0.00116956,0.00116956,0.00116956
15,128.66,0.51923,0.82693,1.14931,0.01715,0.50101,0.7363,0.56712,0.50266,0.39903,1.34623,1.00317,0.01846,0.00116337,0.00116337,0.00116337
16,134.812,0.49186,0.8335,1.12598,0.01617,0.53189,0.84105,0.65525,0.61681,0.34183,1.20839,0.93838,0.01091,0.00115719,0.00115719,0.00115719
17,140.729,0.48926,0.78282,1.1069,0.0165,0.54903,0.79766,0.63211,0.58087,0.36257,1.45074,0.95985,0.01697,0.001151,0.001151,0.001151
18,146.76,0.49825,0.8026,1.12199,0.01688,0.56706,0.78222,0.66351,0.63303,0.31405,1.51752,0.93711,0.01064,0.00114481,0.00114481,0.00114481
19,152.629,0.48806,0.79433,1.11615,0.01399,0.56485,0.74077,0.62447,0.57983,0.3838,1.33606,0.98035,0.01324,0.00113863,0.00113863,0.00113863
20,158.597,0.49098,0.81531,1.13662,0.01286,0.59038,0.70284,0.62602,0.566,0.37885,1.36656,0.97088,0.01735,0.00113244,0.00113244,0.00113244
21,164.584,0.48483,0.78012,1.13321,0.01374,0.56315,0.75394,0.64411,0.5958,0.37622,1.26621,0.97076,0.01927,0.00112625,0.00112625,0.00112625
22,170.652,0.46502,0.74143,1.10219,0.01354,0.58768,0.68749,0.62468,0.55086,0.41599,1.21075,1.03215,0.02152,0.00112006,0.00112006,0.00112006
23,176.673,0.47623,0.72008,1.09138,0.014,0.59945,0.77688,0.66477,0.62351,0.32377,1.1073,0.93834,0.00728,0.00111388,0.00111388,0.00111388
24,182.723,0.46853,0.73052,1.09279,0.01206,0.52617,0.82931,0.65291,0.59213,0.38827,1.61173,0.96452,0.01492,0.00110769,0.00110769,0.00110769
25,188.74,0.44719,0.70878,1.07466,0.01026,0.54823,0.79047,0.66072,0.6144,0.33051,1.33137,0.94014,0.01429,0.0011015,0.0011015,0.0011015
26,194.894,0.46492,0.72672,1.10891,0.01416,0.54192,0.77984,0.64461,0.61422,0.31042,1.3581,0.93543,0.00767,0.00109531,0.00109531,0.00109531
27,200.66,0.42312,0.64483,1.06146,0.00894,0.66935,0.78559,0.74079,0.69527,0.33731,1.21475,0.94719,0.01703,0.00108913,0.00108913,0.00108913
28,206.686,0.43304,0.64789,1.09118,0.00911,0.57283,0.76749,0.6915,0.65586,0.32013,1.26952,0.94703,0.01256,0.00108294,0.00108294,0.00108294
29,212.66,0.42097,0.63816,1.07241,0.01041,0.57243,0.7595,0.6845,0.64041,0.35973,1.23843,0.96497,0.01761,0.00107675,0.00107675,0.00107675
