epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1645.14,1.4968,1.90827,1.35646,0.46285,0.29046,0.28668,0.16734,1.6521,2.19678,1.45929,0.000333142,0.000333142,0.0670189
2,3291.97,1.53419,1.76329,1.39636,0.58436,0.38539,0.41973,0.25134,1.52248,1.80833,1.40407,0.000662414,0.000662414,0.0340148
3,4896.46,1.5257,1.71503,1.38876,0.60404,0.44801,0.48826,0.29599,1.45694,1.56181,1.33979,0.000975587,0.000975587,0.000994689
4,6496.37,1.48649,1.63389,1.36167,0.64716,0.46419,0.51866,0.32311,1.4183,1.45425,1.31666,0.000946048,0.000946048,0.000946048
5,8096.36,1.45122,1.56064,1.33807,0.63231,0.48802,0.53303,0.34326,1.37565,1.40163,1.27739,0.000905463,0.000905463,0.000905463
6,9690.12,1.42378,1.4962,1.31663,0.66074,0.51251,0.56268,0.36452,1.34742,1.29845,1.25804,0.000855018,0.000855018,0.000855018
7,11273.7,1.39776,1.45544,1.3026,0.67064,0.53344,0.58397,0.38183,1.31542,1.26184,1.23627,0.000795954,0.000795954,0.000795954
8,12864.5,1.37485,1.40811,1.28412,0.68387,0.53223,0.5939,0.3913,1.30432,1.22832,1.22521,0.000729725,0.000729725,0.000729725
9,14455.4,1.35932,1.37288,1.27094,0.70032,0.54875,0.60314,0.40195,1.27728,1.19854,1.20817,0.000657963,0.000657963,0.000657963
10,16051.2,1.34085,1.33736,1.25835,0.70556,0.55024,0.61402,0.41242,1.2613,1.1694,1.1994,0.000582435,0.000582435,0.000582435
11,17574.1,1.32061,1.244,1.24466,0.70246,0.56383,0.6228,0.42051,1.25946,1.15415,1.19577,0.000505,0.000505,0.000505
12,19082,1.29905,1.19788,1.22947,0.71487,0.56826,0.63079,0.42886,1.24228,1.12051,1.18335,0.000427565,0.000427565,0.000427565
13,20594.5,1.27739,1.16685,1.21594,0.72324,0.58044,0.63932,0.43725,1.23219,1.095,1.17476,0.000352037,0.000352037,0.000352037
14,22099.4,1.25911,1.13596,1.20462,0.73558,0.57225,0.64362,0.44362,1.21675,1.08429,1.16696,0.000280275,0.000280275,0.000280275
15,23608.3,1.23785,1.10123,1.18909,0.72496,0.58855,0.6511,0.44981,1.209,1.06818,1.15763,0.000214046,0.000214046,0.000214046
16,25113,1.22265,1.07771,1.18051,0.7395,0.59169,0.65626,0.45427,1.20306,1.05155,1.15467,0.000154982,0.000154982,0.000154982
17,26617.3,1.21324,1.05688,1.17253,0.75127,0.59127,0.66017,0.4568,1.19711,1.04168,1.14961,0.000104537,0.000104537,0.000104537
18,28119.5,1.20079,1.03837,1.16438,0.74961,0.59479,0.66374,0.46208,1.19386,1.03616,1.14741,6.39518e-05,6.39518e-05,6.39518e-05
19,29625.7,1.19215,1.02535,1.15827,0.74582,0.59983,0.66476,0.4625,1.19048,1.0308,1.14423,3.4227e-05,3.4227e-05,3.4227e-05
20,31129.4,1.1904,1.0224,1.15721,0.74077,0.60356,0.66545,0.46378,1.18917,1.02819,1.14323,1.60943e-05,1.60943e-05,1.60943e-05
