epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1724.46,1.36359,2.11494,1.25139,0.63177,0.48516,0.52888,0.3374,1.34162,1.60763,1.23665,0.000208214,0.000208214,0.000208214
2,3415.41,1.414,1.62473,1.29624,0.56845,0.45583,0.49099,0.30831,1.40202,1.5541,1.28683,0.000395928,0.000395928,0.000395928
3,5049.68,1.43529,1.57184,1.30941,0.6033,0.46752,0.50592,0.32232,1.38256,1.45093,1.2655,0.000563017,0.000563017,0.000563017
4,6679.05,1.42229,1.51744,1.30431,0.66629,0.48927,0.55141,0.35468,1.35323,1.34381,1.24869,0.000532187,0.000532187,0.000532187
5,8313.67,1.39742,1.45131,1.28541,0.67391,0.51615,0.57322,0.37417,1.31734,1.27303,1.232,0.00050125,0.00050125,0.00050125
6,9917.65,1.37387,1.40756,1.27334,0.68358,0.53401,0.59226,0.39436,1.28911,1.22703,1.20561,0.000470312,0.000470312,0.000470312
7,11518.7,1.35334,1.36567,1.25963,0.68342,0.55501,0.60577,0.40532,1.27514,1.19153,1.19346,0.000439375,0.000439375,0.000439375
8,13093.3,1.33376,1.3264,1.24866,0.70266,0.55406,0.61511,0.41232,1.26261,1.16663,1.18497,0.000408438,0.000408438,0.000408438
9,14670.3,1.3175,1.29684,1.23777,0.7222,0.56485,0.62751,0.42378,1.24155,1.1337,1.17563,0.0003775,0.0003775,0.0003775
10,16251.1,1.30457,1.27238,1.22942,0.72401,0.57112,0.63655,0.43336,1.23268,1.1113,1.17072,0.000346563,0.000346563,0.000346563
11,17803.2,1.29204,1.19198,1.21468,0.71962,0.57969,0.63983,0.43817,1.22177,1.10238,1.15976,0.000315625,0.000315625,0.000315625
12,19313.8,1.27539,1.16114,1.20637,0.72784,0.58327,0.64791,0.44543,1.21334,1.07838,1.15773,0.000284688,0.000284688,0.000284688
13,20809.1,1.25855,1.13307,1.19673,0.72794,0.58114,0.65231,0.45067,1.20413,1.0712,1.15064,0.00025375,0.00025375,0.00025375
14,22310.5,1.24223,1.10931,1.18596,0.75371,0.58408,0.65932,0.45601,1.19711,1.05296,1.14635,0.000222813,0.000222813,0.000222813
15,23807,1.23171,1.08475,1.1773,0.73801,0.60251,0.66291,0.46088,1.18735,1.04015,1.13689,0.000191875,0.000191875,0.000191875
16,25304.7,1.21746,1.05904,1.16821,0.75265,0.59838,0.66753,0.4661,1.18365,1.02999,1.13539,0.000160938,0.000160938,0.000160938
17,26799.1,1.20313,1.03769,1.15964,0.74539,0.60299,0.67079,0.46759,1.18005,1.01756,1.13123,0.00013,0.00013,0.00013
18,28295.3,1.18978,1.01748,1.14959,0.76162,0.60083,0.67443,0.47289,1.17516,1.00704,1.12862,9.90625e-05,9.90625e-05,9.90625e-05
19,29791,1.17899,0.9967,1.14372,0.74824,0.61122,0.67711,0.47529,1.16977,0.99985,1.12437,6.8125e-05,6.8125e-05,6.8125e-05
20,31284.3,1.16517,0.98152,1.13591,0.75508,0.60532,0.67718,0.47685,1.16615,0.99695,1.12261,3.71875e-05,3.71875e-05,3.71875e-05
