epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1794.05,1.58756,2.04748,1.42572,0.54831,0.27619,0.29553,0.17162,1.63255,2.13559,1.47489,0.000333142,0.000333142,0.0670189
2,3515.88,1.6199,1.89762,1.4581,0.52857,0.39455,0.41076,0.24466,1.53031,1.88337,1.39485,0.000662414,0.000662414,0.0340148
3,5203.25,1.59915,1.83962,1.4477,0.59991,0.43676,0.47555,0.29781,1.447,1.5569,1.33328,0.000975587,0.000975587,0.000994689
4,6910.26,1.56803,1.76162,1.42559,0.64917,0.46663,0.51762,0.32391,1.41011,1.47769,1.30972,0.000946048,0.000946048,0.000946048
5,8618.45,1.53311,1.69123,1.4025,0.65615,0.48252,0.53209,0.34224,1.37974,1.39392,1.27673,0.000905463,0.000905463,0.000905463
6,10307.8,1.50782,1.6365,1.38077,0.64391,0.49842,0.54186,0.35332,1.37034,1.34787,1.27231,0.000855018,0.000855018,0.000855018
7,11998.4,1.48162,1.58497,1.36539,0.65996,0.51746,0.57017,0.37402,1.32887,1.28265,1.24146,0.000795954,0.000795954,0.000795954
8,13696.8,1.46261,1.5434,1.34809,0.67663,0.53089,0.58363,0.38148,1.31447,1.2414,1.23147,0.000729725,0.000729725,0.000729725
9,15379.9,1.44391,1.50749,1.33544,0.67982,0.54805,0.59841,0.40109,1.28404,1.19784,1.20327,0.000657963,0.000657963,0.000657963
10,17045,1.42048,1.47173,1.32163,0.72335,0.54514,0.61377,0.41281,1.26744,1.18156,1.20018,0.000582435,0.000582435,0.000582435
11,18581.9,1.32634,1.26289,1.24716,0.72831,0.54987,0.61791,0.41584,1.2644,1.15979,1.1966,0.000505,0.000505,0.000505
12,20103.2,1.30257,1.2108,1.23444,0.71158,0.56607,0.62712,0.42727,1.24319,1.13284,1.18625,0.000427565,0.000427565,0.000427565
13,21621.5,1.28135,1.17025,1.21743,0.73112,0.57201,0.63977,0.43911,1.23092,1.10253,1.17414,0.000352037,0.000352037,0.000352037
14,23144.3,1.26073,1.13817,1.20655,0.73828,0.57584,0.64329,0.44149,1.22068,1.08503,1.16863,0.000280275,0.000280275,0.000280275
15,24666.7,1.2421,1.10841,1.19188,0.74663,0.58392,0.65165,0.44964,1.21499,1.07071,1.16155,0.000214046,0.000214046,0.000214046
16,26183.1,1.22726,1.0814,1.18215,0.73906,0.58698,0.65616,0.45357,1.20699,1.05831,1.15614,0.000154982,0.000154982,0.000154982
17,27696.8,1.21453,1.06146,1.17193,0.73772,0.59231,0.66088,0.45826,1.19765,1.04784,1.14947,0.000104537,0.000104537,0.000104537
18,29208.4,1.20478,1.04642,1.16644,0.73888,0.59227,0.66242,0.4588,1.19624,1.04296,1.14966,6.39518e-05,6.39518e-05,6.39518e-05
19,30708.5,1.19705,1.03603,1.16133,0.7465,0.59173,0.66316,0.46039,1.19426,1.03886,1.14767,3.4227e-05,3.4227e-05,3.4227e-05
20,32222.9,1.19136,1.02589,1.16016,0.7492,0.59201,0.6638,0.46205,1.1934,1.03741,1.14732,1.60943e-05,1.60943e-05,1.60943e-05
